scope,subject,relation
易混概念二十五　寒潮与冷锋,区别8,包含
易混概念二十六　冰川融水与冰雪融水,冰川融水,包含
易混概念二十七　水资源、水能资源、水利资源、水力资源,水资源,包含
易混概念二十七　水资源、水能资源、水利资源、水力资源,水能资源,包含
易混概念二十七　水资源、水能资源、水利资源、水力资源,水利资源,包含
易混概念二十七　水资源、水能资源、水利资源、水力资源,水力资源,包含
易混概念二十八　土壤、土地、土地资源,土壤,包含
易混概念二十八　土壤、土地、土地资源,土地,包含
易混概念二十八　土壤、土地、土地资源,土地资源,包含
易混概念二十九　草原、草地、草场,草原,包含
易混概念二十九　草原、草地、草场,草地,包含
易混概念二十九　草原、草地、草场,草场,包含
易混概念三十　滑坡与泥石流,滑坡,包含
易混概念三十　滑坡与泥石流,泥石流,包含
易混概念三十　滑坡与泥石流,人口自然增长率,包含
易混概念三十　滑坡与泥石流,计算公式,包含
易混概念三十二　郊区城市化与逆城市化,郊区城市化,包含
易混概念三十二　郊区城市化与逆城市化,逆城市化,包含
易混概念三十三　全球变暖与热岛效应,全球变暖,包含
易混概念三十三　全球变暖与热岛效应,热岛效应,包含
易混概念三十四　地铁、轻轨与高铁,地铁,包含
易混概念三十四　地铁、轻轨与高铁,轻轨,包含
易混概念三十四　地铁、轻轨与高铁,高铁,包含
易混概念三十五　水分与水源,水分,包含
易混概念三十五　水分与水源,水源,包含
易混概念三十六　春小麦与冬小麦,春小麦,包含
易混概念三十六　春小麦与冬小麦,冬小麦,包含
易混概念三十七　乳畜业与大牧场放牧业,乳畜业,包含
易混概念三十七　乳畜业与大牧场放牧业,大牧场放牧业,包含
易混概念三十八　生态农业与立体农业,生态农业,包含
易混概念三十八　生态农业与立体农业,立体农业,包含
易混概念三十九　环境污染与生态破坏,环境污染,包含
易混概念三十九　环境污染与生态破坏,生态破坏,包含
易混概念四十　中国四大地理分区和三大自然地理区域,四大地理分区,包含
易混概念四十　中国四大地理分区和三大自然地理区域,三大自然地理区域,包含
